date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-10-15,3953.16,3953.16,3936.25,3928.15,85273952.0,-16.99,-0.43,3903.82,3873.608,3900.431,91231467.2,86496958.8,95748252.6
2019-10-14,3944.86,3983.81,3953.24,3934.73,122393608.0,41.51,1.06,3884.106,3870.091,3902.266,89508248.0,86747886.8,98825043.0
2019-10-11,3885.52,3922.37,3911.73,3868.84,93412576.0,37.09,0.96,3856.364,3863.833,3902.029,78215789.6,83912148.4,98799481.4
2019-10-10,3838.49,3877.14,3874.64,3829.43,79222688.0,31.4,0.82,3844.548,3866.225,3902.709,74334063.2,84916486.8,103211663.8
2019-10-09,3822.61,3845.34,3843.24,3805.07,75854512.0,5.56,0.14,3837.848,3871.199,3903.277,79029186.4,85592641.2,105581960.2
2019-10-08,3818.59,3861.64,3837.68,3818.59,76657856.0,23.15,0.61,3843.396,3877.883,3903.795,81762450.4,86212805.2,106674965.8
2019-09-30,3842.07,3857.23,3814.53,3813.55,65931316.0,-38.12,-0.99,3856.076,3883.237,3904.327,83987525.6,89916451.6,108356540.2
2019-09-27,3843.46,3859.5,3852.65,3832.25,74003944.0,11.51,0.3,3871.302,3897.556,3903.58,89608507.2,94349300.8,109894732.0
2019-09-26,3884.7,3890.75,3841.14,3840.25,102698304.0,-29.84,-0.77,3887.902,3909.529,3900.457,95498910.4,97973033.6,110398704.4
2019-09-25,3887.55,3889.84,3870.98,3867.23,89520832.0,-30.1,-0.77,3904.55,3918.425,3898.529,92156096.0,100862690.4,109701329.6
2019-09-24,3895.87,3927.01,3901.08,3886.14,87783232.0,10.42,0.27,3912.37,3927.253,3895.828,90663160.0,104999546.4,111461861.6
2019-09-23,3925.19,3925.19,3890.66,3868.21,94036224.0,-44.99,-1.14,3910.398,3934.44,3889.069,95845377.6,110902199.2,111765663.2
2019-09-20,3933.46,3942.22,3935.65,3921.41,103455960.0,11.27,0.29,3923.81,3940.225,3885.579,99090094.4,113686814.4,111461581.2
2019-09-19,3923.96,3924.38,3924.38,3897.07,85984232.0,14.3,0.37,3931.156,3939.192,3878.472,100447156.8,121506840.8,110579172.8
2019-09-18,3902.99,3923.15,3910.08,3902.51,82056152.0,18.86,0.48,3932.3,3935.354,3871.341,109569284.8,125571279.2,110394955.2
2019-09-17,3947.16,3947.16,3891.22,3879.49,113694320.0,-66.5,-1.68,3942.136,3929.707,3865.224,119335932.8,127137126.4,111722252.0
2019-09-16,3981.36,3982.2,3957.72,3943.37,110259808.0,-14.66,-0.37,3958.482,3925.417,3860.217,125959020.8,126796628.8,113003887.2
2019-09-12,3944.69,3975.93,3972.38,3933.44,110241272.0,42.28,1.08,3956.64,3909.604,3847.858,128283534.4,125440163.2,111906855.2
2019-09-11,3969.68,3971.22,3930.1,3922.95,131594872.0,-29.16,-0.74,3947.228,3891.385,3833.939,142566524.8,122824375.2,110824733.2
2019-09-10,3976.87,3976.92,3959.26,3938.74,130889392.0,-13.69,-0.34,3938.408,3878.633,3821.554,141573273.6,118539968.8,108805119.2
2019-09-09,3980.96,3985.24,3972.95,3954.88,146809760.0,24.44,0.62,3917.278,3864.402,3806.879,134938320.0,117924176.8,106085664.8
2019-09-06,3946.69,3948.54,3948.51,3922.34,121882376.0,23.19,0.59,3892.352,3843.698,3793.186,127634236.8,112629127.2,102849329.6
2019-09-05,3909.21,3970.0,3925.32,3909.21,181656224.0,39.32,1.01,3862.568,3830.933,3777.437,122596792.0,109236348.0,101019990.0
2019-09-04,3848.65,3886.0,3886.0,3846.42,126628616.0,32.39,0.84,3835.542,3817.752,3764.636,103082225.6,99651504.8,96360064.0
2019-09-03,3852.58,3856.68,3853.61,3833.76,97714624.0,5.29,0.14,3818.858,3807.328,3751.407,95506664.0,95218631.2,94240568.8
2019-09-02,3803.69,3855.78,3848.32,3799.82,110289344.0,48.73,1.28,3811.526,3800.74,3740.543,100910033.6,96307377.6,95846531.2
2019-08-30,3816.68,3828.97,3799.59,3778.92,96695152.0,9.4,0.25,3795.044,3795.017,3731.912,97624017.6,99211145.6,95398362.8
2019-08-29,3805.49,3808.6,3790.19,3774.4,84083392.0,-12.39,-0.33,3799.298,3786.112,3729.304,95875904.0,98373547.2,95980400.0
2019-08-28,3818.81,3822.59,3802.58,3790.14,88750808.0,-14.37,-0.38,3799.962,3776.493,3729.968,96220784.0,98825091.2,95981939.6
2019-08-27,3791.46,3848.24,3816.95,3790.87,124731472.0,51.04,1.35,3795.798,3764.475,3731.607,94930598.4,99070269.6,95651956.8
2019-08-26,3756.36,3778.87,3765.91,3753.16,93859264.0,-54.95,-1.44,3789.954,3749.355,3734.276,91704721.6,94247152.8,94121580.8
2019-08-23,3796.88,3829.36,3820.86,3788.03,87954584.0,27.35,0.72,3794.99,3742.674,3738.694,100798273.6,93069532.0,93669336.0
2019-08-22,3793.86,3797.33,3793.51,3771.2,85807792.0,11.75,0.31,3772.926,3723.941,3740.579,100871190.4,92803632.0,93434571.6
2019-08-21,3778.31,3792.6,3781.76,3775.45,82299880.0,-5.97,-0.16,3753.024,3711.519,3743.457,101429398.4,93068623.2,93831203.2
2019-08-20,3786.03,3799.9,3787.73,3778.73,108602088.0,-3.36,-0.09,3733.152,3695.486,3745.361,103209940.8,93262506.4,94263243.2
2019-08-19,3736.03,3791.09,3791.09,3720.69,139327024.0,80.55,2.17,3708.756,3680.346,3745.47,96789584.0,95385684.8,92398806.0
2019-08-16,3697.94,3738.1,3710.54,3687.08,88319168.0,16.54,0.45,3690.358,3668.806,3744.999,85340790.4,91585580.0,90037523.6
2019-08-15,3618.01,3694.3,3694.0,3612.11,88598832.0,11.6,0.32,3674.956,3672.496,3749.87,84736073.6,93587252.8,90025872.8
2019-08-14,3712.07,3717.56,3682.4,3680.61,91202592.0,16.65,0.45,3670.014,3683.443,3753.59,84707848.0,93138788.0,89970753.6
2019-08-13,3675.59,3686.43,3665.75,3658.01,76500304.0,-33.35,-0.9,3657.82,3698.739,3759.702,83315072.0,92233644.0,90169818.0
2019-08-12,3647.87,3699.1,3699.1,3643.32,82083056.0,65.57,1.8,3651.936,3719.196,3766.757,93981785.6,93996008.8,90381350.4
2019-08-09,3686.75,3689.18,3633.53,3628.12,85295584.0,-35.76,-0.97,3647.254,3734.713,3773.011,97830369.6,94269140.0,91337458.4
2019-08-08,3651.36,3675.46,3669.29,3646.94,88457704.0,47.86,1.32,3670.036,3757.217,3781.771,102438432.0,94065511.2,90845977.6
2019-08-07,3654.63,3659.08,3621.43,3621.43,84238712.0,-14.9,-0.41,3696.872,3775.395,3787.568,101569728.0,94593783.2,90188690.8
2019-08-06,3609.11,3649.9,3636.33,3575.86,129833872.0,-39.36,-1.07,3739.658,3795.235,3795.833,101152216.0,95263980.0,89618452.4
2019-08-05,3724.41,3739.5,3675.69,3675.69,101325976.0,-71.75,-1.92,3786.456,3810.593,3803.673,94010232.0,89411927.2,86868895.2
2019-08-02,3729.13,3754.53,3747.44,3720.06,108335896.0,-56.03,-1.47,3822.172,3821.192,3810.028,90707910.4,88489467.2,87279550.4
2019-08-01,3819.32,3831.26,3803.47,3791.55,84114184.0,-31.89,-0.83,3844.398,3827.244,3817.316,85692590.4,86464492.8,85563082.0
2019-07-31,3856.74,3856.74,3835.36,3830.09,82151152.0,-34.96,-0.9,3853.918,3823.737,3820.798,87617838.4,86802719.2,86324485.6
2019-07-30,3861.57,3890.73,3870.32,3861.57,94123952.0,16.05,0.42,3850.812,3820.665,3823.706,89375744.0,88105992.0,87816558.4
2019-07-29,3857.94,3862.75,3854.27,3842.43,84814368.0,-4.3,-0.11,3834.73,3814.317,3827.049,84813622.4,86766692.0,89703536.0
2019-07-26,3835.23,3863.59,3858.57,3832.52,83259296.0,7.5,0.2,3820.212,3811.309,3831.126,86271024.0,88405776.8,93381335.2
2019-07-25,3821.39,3851.07,3851.07,3812.95,93740424.0,31.24,0.82,3810.09,3806.325,3829.477,87236395.2,87626444.0,93456677.6
2019-07-24,3803.59,3840.06,3819.83,3803.57,90940680.0,29.92,0.79,3793.556,3799.74,3828.664,85987600.0,85783598.4,94035474.4
2019-07-23,3783.54,3792.96,3789.91,3768.76,71313344.0,8.23,0.22,3790.518,3796.431,3827.389,86836240.0,83972924.8,93579454.4
2019-07-22,3813.5,3816.54,3781.68,3765.44,92101376.0,-26.28,-0.69,3793.904,3796.753,3827.959,88719761.6,84325863.2,96217582.8
2019-07-19,3787.51,3828.15,3807.96,3787.51,88086152.0,39.56,1.05,3802.406,3798.864,3830.939,90540529.6,86069633.6,96616745.2
2019-07-18,3793.19,3793.39,3768.4,3768.0,87496448.0,-36.24,-0.95,3802.56,3807.388,3832.238,88016492.8,84661671.2,99894195.2
2019-07-17,3800.11,3820.27,3804.64,3787.9,95183880.0,-2.2,-0.06,3805.924,3817.858,3835.244,85579596.8,85846252.0,103962976.0
2019-07-16,3819.25,3828.33,3806.84,3799.87,80730952.0,-17.35,-0.45,3802.344,3826.747,3830.809,81109609.6,87527124.8,105483568.0
2019-07-15,3792.64,3844.87,3824.19,3745.85,101205216.0,15.46,0.41,3799.602,3839.78,3823.848,79931964.8,92640380.0,104981633.6
2019-07-12,3783.07,3820.24,3808.73,3774.52,75465968.0,23.51,0.62,3795.322,3850.942,3815.379,81598737.6,98356893.6,103570206.4
2019-07-11,3806.19,3830.74,3785.22,3774.41,75311968.0,-1.52,-0.04,3812.216,3852.628,3807.687,81306849.6,99286911.2,104887758.4
2019-07-10,3807.95,3810.4,3786.74,3774.23,72833944.0,-6.39,-0.17,3829.792,3857.588,3802.695,86112907.2,102287350.4,105938745.6
2019-07-09,3798.1,3811.1,3793.13,3774.76,74842728.0,-9.66,-0.25,3851.15,3858.347,3797.913,93944640.0,103185984.0,108255991.2
2019-07-08,3875.75,3875.75,3802.79,3775.03,109539080.0,-90.41,-2.32,3879.958,3859.165,3794.221,105348795.2,108109302.4,111687995.6
2019-07-05,3875.37,3900.31,3893.2,3857.93,74006528.0,20.1,0.52,3906.562,3863.013,3784.618,115115049.6,107163856.8,110829794.8
2019-07-04,3895.2,3906.89,3873.1,3854.69,99342256.0,-20.43,-0.53,3893.04,3857.087,3768.192,117266972.8,115126719.2,111406188.4
2019-07-03,3927.44,3927.44,3893.53,3878.84,111992608.0,-43.64,-1.11,3885.384,3852.629,3754.393,118461793.6,122079700.0,110871176.4
2019-07-02,3931.05,3942.43,3937.17,3918.94,131863504.0,1.36,0.04,3865.544,3834.87,3739.64,112427328.0,123440011.2,109626400.8
2019-07-01,3899.33,3936.67,3935.81,3886.91,158370352.0,110.22,2.88,3838.372,3807.915,3724.382,110869809.6,117322887.2,108069384.4
2019-06-28,3832.06,3835.23,3825.59,3803.05,84766144.0,-9.23,-0.24,3819.464,3779.816,3709.081,99212664.0,108783519.2,104611980.0
2019-06-27,3807.54,3854.08,3834.82,3805.83,105316360.0,40.49,1.07,3821.134,3762.745,3699.86,112986465.6,110488605.6,105083800.8
2019-06-26,3779.51,3809.76,3794.33,3771.72,81820280.0,-6.98,-0.18,3819.874,3747.802,3691.315,125697606.4,109590140.8,104485754.8
